id,Name,Brand,MRP,Discount %,Category,Sub_Category,Gender,Color,Description,Material Care,sizes,Thumbnail Image Filename,Vton Ready Image Filename,Other images filename,size_chart
7725045350451,Women's Elegant Red Ethnic Kurti,Kalyan Silks,649.0,0,kurtas,General,Women,Red,"Bright and bold, this red kurti brings effortless elegance to your ethnic wardrobe. Ideal for gatherings, events, and daily chic wear. Color: Red Pattern : Sequence Neck : V",,M;L;XL;XXL,7725045350451_thumb.png,7725045350451_vton.png,7725045350451_1.png; 7725045350451_2.png; 7725045350451_3.png,
7725025722419,Black Printed Weaving Kurti For Women,Kalyan Silks,349.0,0,kurtas,General,Women,Black,"Crafted in weaving kurti in black with regular fit and full sleeves, designed for light, comfortable days. Ideal for stylish kurti for women. Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725025722419_thumb.png,7725025722419_vton.png,7725025722419_1.png; 7725025722419_2.png; 7725025722419_3.png,
7725025198131,Green Printed Weaving Kurti Set For Women,Kalyan Silks,349.0,0,kurtas,General,Women,Green,"Crafted in weaving kurti in green with regular fit and full sleeves, designed for light, comfortable days. Suited to long kurtis for women. Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725025198131_thumb.png,7725025198131_vton.png,7725025198131_1.png; 7725025198131_2.png; 7725025198131_3.png,
7725024903219,Red Printed Weaving Kurti Set For Women,Kalyan Silks,349.0,0,kurtas,General,Women,Red,"Crafted in weaving kurti in red with regular fit and full sleeves, built for light, comfortable days. A go-to for long kurtis for women & cotton kurtis Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725024903219_thumb.png,7725024903219_vton.png,7725024903219_1.png; 7725024903219_2.png; 7725024903219_3.png,
7725024378931,Blue  Printed Weaving Kurti Set For Women,Kalyan Silks,349.0,0,kurtas,General,Women,Blue,"Crafted in weaving kurti in blue with regular fit and full sleeves, built for weekday-to-weekend ease. Ideal for long kurtis for women. Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725024378931_thumb.png,7725024378931_vton.png,7725024378931_1.png; 7725024378931_2.png; 7725024378931_3.png,
7725024182323,Light Pink Printed Weaving Kurti Set For Women,Kalyan Silks,349.0,0,kurtas,General,Women,Pink,"Kurti in light pink in crafted in weaving, featuring regular fit and full sleeves. Weekday-to-weekend ease. Suited to long kurtis for women & stylish Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725024182323_thumb.png,7725024182323_vton.png,7725024182323_1.png; 7725024182323_2.png; 7725024182323_3.png,
7725023887411,Black Printed Weaving Kurti Set For Women,Kalyan Silks,649.0,0,kurtas,General,Women,Black,"Kurti in black in crafted in weaving, featuring regular fit and full sleeves. Weekday-to-weekend ease. Suited to kurti set for women & cotton kurti set Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725023887411_thumb.png,7725023887411_vton.png,7725023887411_1.png; 7725023887411_2.png; 7725023887411_3.png,
7725023625267,Flurescent Pink Ikat Printed Cotton Kurti Set For Women,Kalyan Silks,649.0,0,kurtas,General,Women,Pink,"Crafted in weaving kurti in flurescent pink with regular fit and full sleeves, built for weekday-to-weekend ease. Perfect as cotton kurti set for women & Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725023625267_thumb.png,7725023625267_vton.png,7725023625267_1.png; 7725023625267_2.png; 7725023625267_3.png,
7725023297587,Mehendi Green Ajrak Printed Cotton Kurti Set For Women,Kalyan Silks,799.0,0,kurtas,General,Women,Green,"Kurti in mehandi green in cotton 60s for breathable comfort, featuring regular fit and three-quarter sleeves. Light, comfortable days. Suited to kurti Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725023297587_thumb.png,7725023297587_vton.png,7725023297587_1.png; 7725023297587_2.png; 7725023297587_3.png,
7725022937139,Light Grey Printed Side Slit Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Grey,"Poly cotton mix for breathable comfort kurti in light grey with straight fit and three-quarter sleeves, built for effortless daily styling. A go-to for Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725022937139_thumb.png,7725022937139_vton.png,7725022937139_1.png; 7725022937139_2.png; 7725022937139_3.png,
7725022773299,Denim Blue Printed Side Slit Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Blue,"Poly cotton mix for breathable comfort meets straight fit kurti in denim blue with three-quarter sleeves, giving a refined, easy feel. Ideal for cotton Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725022773299_thumb.png,7725022773299_vton.png,7725022773299_1.png; 7725022773299_2.png; 7725022773299_3.png,
7725022478387,Mehendi Printed Side Slit Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Printed,"Poly cotton mix for breathable comfort kurti in mehndi with straight fit and three-quarter sleeves, built for light, comfortable days. Suited to stylish Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725022478387_thumb.png,7725022478387_vton.png,7725022478387_1.png; 7725022478387_2.png; 7725022478387_3.png,
7725022216243,Dark Green Printed Side Slit Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Green,"Poly cotton mix for breathable comfort kurti in dark green with straight fit and three-quarter sleeves, designed for clean, minimal dressing. Ideal for Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725022216243_thumb.png,7725022216243_vton.png,7725022216243_1.png; 7725022216243_2.png; 7725022216243_3.png; 7725022216243_4.png,
7725021921331,Dark Grey Printed Side Slit Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Grey,"Kurti in dark grey in poly cotton mix for breathable comfort, featuring straight fit and three-quarter sleeves. Weekday-to-weekend ease. A go-to for Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s unique appearance is intentional and may change with washing and wear. Color may transfer; wash separately or with similar/dark colors. size chart",,S;M;L;XL;XXL;XXXL,7725021921331_thumb.png,7725021921331_vton.png,7725021921331_1.png; 7725021921331_2.png; 7725021921331_3.png,
7725021364275,Mouse Color Printed Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Printed,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops. Wash Care Machine wash cold (30°C). Do not bleach. Tumble dry low. Iron on low temperature. Avoid ironing directly on prints or embellishments. This garment’s uniqu",,S;M;L;XL;XXL;XXXL,7725021364275_thumb.png,7725021364275_vton.png,7725021364275_1.png; 7725021364275_2.png; 7725021364275_3.png,
7725011271731,Sky Bloom Cotton Kurti Set For Women,Kalyan Silks,899.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,L;XL;XXL,7725011271731_thumb.jpg,7725011271731_vton.png,7725011271731_1.jpg; 7725011271731_2.jpg; 7725011271731_3.jpg; 7725011271731_4.jpg; 7725011271731_5.jpg; 7725011271731_6.jpg; 7725011271731_7.jpg; 7725011271731_8.jpg; 7725011271731_9.jpg; 7725011271731_10.jpg; 7725011271731_11.png,
7725011140659,Multi Digital Bloom Rayon Kurti For Women,Kalyan Silks,599.0,0,kurtas,General,Women,Multi,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL,7725011140659_thumb.jpg,7725011140659_vton.png,7725011140659_1.jpg; 7725011140659_2.jpg; 7725011140659_3.jpg; 7725011140659_4.jpg; 7725011140659_5.jpg; 7725011140659_6.jpg; 7725011140659_7.jpg; 7725011140659_8.jpg,
7725010944051,Scarlet Bloom Cotton Kurti For Women,Kalyan Silks,549.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL,7725010944051_thumb.jpg,7725010944051_vton.png,7725010944051_1.jpg; 7725010944051_2.jpg; 7725010944051_3.jpg; 7725010944051_4.jpg; 7725010944051_5.jpg; 7725010944051_6.jpg; 7725010944051_7.jpg; 7725010944051_8.jpg,
7725010649139,Magenta Grace Rayon Kurti For Women,Kalyan Silks,799.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL,7725010649139_thumb.jpg,7725010649139_vton.png,7725010649139_1.jpg; 7725010649139_2.jpg; 7725010649139_3.jpg; 7725010649139_4.jpg; 7725010649139_5.jpg; 7725010649139_6.jpg; 7725010649139_7.jpg,
7725010583603,Noir Bloom Cotton Kurti For Women,Kalyan Silks,799.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL,7725010583603_thumb.jpg,7725010583603_vton.png,7725010583603_1.jpg; 7725010583603_2.jpg; 7725010583603_3.jpg; 7725010583603_4.jpg; 7725010583603_5.jpg; 7725010583603_6.jpg; 7725010583603_7.jpg,
7725010550835,Orchid Bloom Flared Kurti For Women,Kalyan Silks,749.0,0,kurtas,General,Women,Red,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010550835_thumb.jpg,7725010550835_vton.png,7725010550835_1.jpg; 7725010550835_2.jpg; 7725010550835_3.jpg; 7725010550835_4.jpg; 7725010550835_5.jpg; 7725010550835_6.jpg; 7725010550835_7.jpg,
7725010518067,Forest Glow Silk Kurti For Women,Kalyan Silks,0.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010518067_thumb.jpg,7725010518067_vton.png,7725010518067_1.jpg; 7725010518067_2.jpg; 7725010518067_3.jpg; 7725010518067_4.jpg; 7725010518067_5.jpg; 7725010518067_6.jpg; 7725010518067_7.jpg,
7725010452531,Mustard Glow Silk Kurti For Women,Kalyan Silks,549.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010452531_thumb.jpg,7725010452531_vton.png,7725010452531_1.jpg; 7725010452531_2.jpg; 7725010452531_3.jpg; 7725010452531_4.jpg; 7725010452531_5.jpg; 7725010452531_6.jpg; 7725010452531_7.jpg,
7725010419763,Wine Glow Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,M;L;XL;XXL;XXXL,7725010419763_thumb.jpg,7725010419763_vton.png,7725010419763_1.jpg; 7725010419763_2.jpg; 7725010419763_3.jpg; 7725010419763_4.jpg; 7725010419763_5.jpg; 7725010419763_6.jpg; 7725010419763_7.jpg,
7725010386995,Peach Glow Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010386995_thumb.jpg,7725010386995_vton.png,7725010386995_1.jpg; 7725010386995_2.jpg; 7725010386995_3.jpg; 7725010386995_4.jpg; 7725010386995_5.jpg; 7725010386995_6.jpg; 7725010386995_7.jpg; 7725010386995_8.jpg,
7725010288691,Lemon Glow Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010288691_thumb.jpg,7725010288691_vton.png,7725010288691_1.jpg; 7725010288691_2.jpg; 7725010288691_3.jpg; 7725010288691_4.jpg; 7725010288691_5.jpg; 7725010288691_6.jpg; 7725010288691_7.jpg,
7725010190387,Steel Glow Poly Cotton Kurti For Women,Kalyan Silks,199.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,S;M;L;XL;XXL;XXXL,7725010190387_thumb.jpg,7725010190387_vton.png,7725010190387_1.jpg; 7725010190387_2.jpg; 7725010190387_3.jpg; 7725010190387_4.jpg; 7725010190387_5.jpg; 7725010190387_6.jpg; 7725010190387_7.jpg; 7725010190387_8.jpg,
7725010124851,Assorted Glow Poly Cotton Kurti For Women,Kalyan Silks,399.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,M;L;XL;XXL,7725010124851_thumb.jpg,7725010124851_vton.png,7725010124851_1.jpg; 7725010124851_2.jpg; 7725010124851_3.jpg; 7725010124851_4.jpg; 7725010124851_5.jpg; 7725010124851_6.jpg; 7725010124851_7.jpg,
7725010059315,Midnight Bloom Cotton Kurti For Women,Kalyan Silks,799.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,M;L,7725010059315_thumb.jpg,7725010059315_vton.png,7725010059315_1.jpg; 7725010059315_2.jpg; 7725010059315_3.jpg; 7725010059315_4.jpg; 7725010059315_5.jpg; 7725010059315_6.jpg; 7725010059315_7.jpg,
7725009993779,Scarlet Bloom Cotton Kurti For Women,Kalyan Silks,549.0,0,kurtas,General,Women,Unknown,"delivers effortless and trend forward women’s tops designed for the modern, free-spirited woman. Each piece blends edgy-chic silhouettes with classic comfort, ensuring that style never compromises ease. Thoughtfully curated in bold hues and contemporary cuts, the collection ranges from casual everyday wear to standout statement tops.",,XS;S;M;L;XL;XXL;XXXL,7725009993779_thumb.jpg,7725009993779_vton.png,7725009993779_1.jpg; 7725009993779_2.jpg; 7725009993779_3.jpg; 7725009993779_4.jpg; 7725009993779_5.jpg; 7725009993779_6.jpg,
